Daily_Puzzle_0,3,IDENTICAL,11L11D11I11A11E11N11C11I11T
Daily_Puzzle_1,3,CHOCOLATE,11H11O11O11C11L11C11A11T11E
Daily_Puzzle_2,3,BEAUTIFUL,11F11I11T11B11U11U11L11E11A
Daily_Puzzle_3,3,HAPPINESS,11H11I11P11N11A11P11E11S11S
Daily_Puzzle_4,3,WEDNESDAY,11S11E11D11D11N11E11A11Y11W
Daily_Puzzle_5,3,CHALLENGE,11E11N11E11G11A11L11H11C11L
Daily_Puzzle_6,3,CELEBRATE,11E11R11A11B11L11T11E11C11E
Daily_Puzzle_7,3,ADVENTURE,11A11D11V11E11E11N11R11U11T
Daily_Puzzle_8,3,IMPORTANT,11T11I11P11N11M11O11A11T11R
Daily_Puzzle_9,3,DANGEROUS,11S11U11O11D11A11R11N11G11E
