Camping_0,3,WOODS_PATH,11P11A11W11T11O11O11H11S11D
Camping_1,3,STARS_TENT,11T11S11T11E11A11R11N11T11S
Camping_2,3,CANOE_CAMP,11A11A11C11M11C11N11P11E11O
Camping_3,3,HIKE_TRAIL,11A11I11L11R11I11E11T11H11K
Camping_4,3,LAKE_CLIMB,11L11A11B11K11C11M11E11I11L
Camping_5,3,GEAR_CABIN,11C11A11B11E11R11I11A11G11N
Camping_6,3,TREES_ROPE,11E11R11O11R11E11P11T11S11E
Camping_7,3,TRIP_BOOTS,11R11I11P11S11T11B11T11O11O
Camping_8,3,EQUIPMENT,11U11Q11E11I11N11T11P11M11E
Camping_9,3,ADVENTURE,11N11E11V11T11A11D11U11R11E
