Computers_0,3,APP_SERVER,11R11V11R11E11E11P11S11A11P
Computers_1,3,SAVE_MOUSE,11U11S11E11O11S11V11M11A11E
Computers_2,3,DISK_CLOUD,11D11D11I11U11K11S11O11L11C
Computers_3,3,EMAIL_HACK,11K11M11E11H11C11A11A11L11I
Computers_4,3,RAM_LAPTOP,11L11A11P11P11T11A11O11R11M
Computers_5,3,BIT_ROUTER,11T11E11R11U11B11T11R11O11I
Computers_6,3,LOGIN_FILE,11N11I11G11L11O11E11F11I11L
Computers_7,3,HYPERLINK,11H11N11K11I11Y11P11L11R11E
Computers_8,3,ALGORITHM,11M11T11I11H11G11R11L11A11O
Computers_9,3,MAINFRAME,11F11N11M11R11I11A11A11M11E
